what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1738838518806
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1738838518806
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1738838518806
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1738838518813
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1738838518813
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1738838518813
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1738838518818
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1738838518821
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1738838518821
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1738838518824
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1738838518825
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1738838518825
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1738838518825
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1738838518825
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1738838518830
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1738838518830
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1738838518832
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1738838518845
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1738838518845
os,sysinfo,,,"win32",1738838518845
arch,sysinfo,,,"x86_64",1738838518845
ws,sysinfo,,,"win32",1738838518845
locale,sysinfo,,,"en_IN",1738838518845
processors,sysinfo,,,"12",1738838518845
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1738838518845
java.runtime.version,sysinfo,,,"1.8.0_191-b12",1738838518845
java.specification.name,sysinfo,,,"Java Platform API Specification",1738838518845
java.specification.vendor,sysinfo,,,"Oracle Corporation",1738838518845
java.specification.version,sysinfo,,,"1.8",1738838518845
java.vendor,sysinfo,,,"Oracle Corporation",1738838518845
java.version,sysinfo,,,"1.8.0_191",1738838518845
java.vm.info,sysinfo,,,"mixed mode",1738838518845
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1738838518845
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1738838518845
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1738838518845
java.vm.specification.version,sysinfo,,,"1.8",1738838518845
java.vm.vendor,sysinfo,,,"Oracle Corporation",1738838518845
java.vm.version,sysinfo,,,"25.191-b12",1738838518845
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1738838518854
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1738838518878
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1738838601008
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1738838606366
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1738838606366
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1738838609419
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738838609482
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738838609768
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1738838610199
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1738838610313
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1738838613221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738838614253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738838615914
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1738838618547
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1738838618547
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.closeProject",1738838625361
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738838625670
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738838626004
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738838631479
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738838632760
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1738838632857
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1738838633800
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1738838633847
